Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,48000000,1,1,0.0801289,2.03399,0.0746552,2.03399,9.76315e+07,0.0367039,0.0120934,2.9752,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36368388,0,303105,147456,299008
aha-mont64,0,48000000,1,1,0.100692,2.38579,0.0945144,2.38579,114517920,0.0396156,0.0130582,2.97646,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,48000000,1,1,0.000559145,0.01311,0.000469001,0.01311,629280,0.0357652,0.0118052,2.97432,bs,274441,0,69633,49152,0,32768,4097,184324,0,12289,4096,8192
bubblesort,0,48000000,1,1,0.375531,8.82577,0.361969,8.82577,423636960,0.0410127,0.0135226,2.97734,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148123652,0,12289,4096,8192
cnt,0,48000000,1,1,0.0458094,1.14867,0.0420908,1.14867,5.51362e+07,0.0366431,0.0120695,2.97425,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19382276,0,843777,8192,430080
compress,0,48000000,1,1,0.0316485,0.75595,0.0288248,0.75595,36285600,0.0381304,0.0125581,2.97388,compress,17022985,0,1925121,2707456,0,3993600,2740225,9474052,0,221185,8192,217088
cover,0,48000000,1,1,0.0192878,0.47833,0.0173569,0.47833,22959840,0.0362861,0.0119489,2.97341,cover,12587017,0,2117633,729088,0,733184,688129,7704580,0,708609,499712,12288
crc,0,48000000,1,1,0.0114831,0.28255,0.0102193,0.28255,1.35624e+07,0.0361686,0.0119107,2.9734,crc,6705164,0,1400322,1105920,0,94721,370177,4564486,0,16641,4352,12288
crc32,0,48000000,1,1,0.437696,10.81719,0.421928,10.81719,519225120,0.0390054,0.012851,2.9751,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151048196,0,8400897,8392704,8396800
ctl-stack,0,48000000,1,1,0.105975,2.62874,0.0990129,2.62874,126179520,0.0376656,0.0124048,2.97392,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35213393,0,1802245,499716,913410
ctl-string,0,48000000,1,1,0.124566,3.11613,0.11693,3.11613,149574240,0.0375243,0.0123608,2.97454,ctl-string,70168546,0,11198463,14180364,0,6053908,10334217,41742323,0,2818053,1425412,385026
ctl-vector,0,48000000,1,1,0.0962413,2.34960,0.0898574,2.34960,112780800,0.0382438,0.0125977,2.97451,ctl-vector,47399059,1212416,9494551,15433750,0,12283926,946185,29884499,0,1613829,503812,929794
cubic,0,48000000,1,1,3.58933,98.04805,3.61203,98.04805,4706306400,0.0368394,0.0121277,2.97272,cubic,3295559689,89096192,262852609,169639936,0,168751104,85213185,1831096324,0,23031809,12754944,13832192
dijkstra,0,48000000,1,1,6.13828,174.29059,6.26962,174.29059,8365948320,0.0359722,0.0118205,2.96727,dijkstra,4006031341,70041600,462565375,912265228,0,521306132,525996040,2230505463,0,77832197,41660420,42438658
