Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,20000000,1,1,0.0924221,4.88266,0.0841647,4.88266,9.76532e+07,0.0172375,0.00565822,2.9641,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36368388,0,303105,147456,299008
aha-mont64,0,20000000,1,1,0.113266,5.72684,0.104336,5.72684,114536800,0.0182187,0.00598569,2.96676,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,20000000,1,1,0.000661224,0.03147,0.000528469,0.03147,629400,0.0167928,0.00552171,2.96527,bs,274441,0,69633,49152,0,32768,4097,184324,0,12289,4096,8192
bubblesort,0,20000000,1,1,0.422136,21.18549,0.402753,21.18549,423709800,0.0190108,0.00624752,2.96754,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148123652,0,12289,4096,8192
cnt,0,20000000,1,1,0.0523595,2.75721,0.0470711,2.75721,55144200,0.017072,0.005606,2.96517,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19382276,0,843777,8192,430080
compress,0,20000000,1,1,0.0365431,1.81478,0.0325665,1.81478,36295600,0.0179451,0.00589344,2.9655,compress,17022985,0,1925121,2707456,0,3993600,2740225,9474052,0,221185,8192,217088
cover,0,20000000,1,1,0.0224748,1.14812,0.0197329,1.14812,22962400,0.0171872,0.00564348,2.96494,cover,12587017,0,2117633,729088,0,733184,688129,7704580,0,708609,499712,12288
crc,0,20000000,1,1,0.013376,0.67823,0.0115969,0.67823,13564600,0.0170987,0.00561534,2.96534,crc,6705164,0,1400322,1105920,0,94721,370177,4564486,0,16641,4352,12288
crc32,0,20000000,1,1,0.491826,25.96663,0.470486,25.96663,519332600,0.0181189,0.00595229,2.96648,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151048196,0,8400897,8392704,8396800
ctl-stack,0,20000000,1,1,0.118797,6.31010,0.109147,6.31010,126202000,0.0172971,0.00567949,2.96497,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35213393,0,1802245,499716,913410
ctl-string,0,20000000,1,1,0.139893,7.48022,0.129193,7.48022,149604400,0.0172713,0.00567168,2.96532,ctl-string,70168546,0,11198463,14180364,0,6053908,10334217,41742323,0,2818053,1425412,385026
ctl-vector,0,20000000,1,1,0.107785,5.64024,0.098954,5.64024,112804800,0.0175443,0.00576229,2.96582,ctl-vector,47399059,1212416,9494551,15433750,0,12283926,946185,29884499,0,1613829,503812,929794
cubic,0,20000000,1,1,4.08763,235.42710,4.13547,235.42710,4708542000,0.0175658,0.00576649,2.96436,cubic,3295559689,89096192,262852609,169639936,0,168751104,85213185,1831096324,0,23031809,12754944,13832192
dijkstra,0,20000000,1,1,7.03694,418.46123,7.24884,418.46123,8369224600,0.0173226,0.00567808,2.9599,dijkstra,4006031341,70041600,462565375,912265228,0,521306132,525996040,2230505463,0,77832197,41660420,42438658
dtoa,0,20000000,1,1,0.0848023,4.27862,0.0760534,4.27862,85572400,0.0177752,0.00582414,2.9587,dtoa,52560520,1388556,5423162,5984362,0,5574782,1245213,29827448,0,675849,262147,479240
duff,0,20000000,1,1,0.00590562,0.27505,0.00487126,0.27505,5501000,0.0177105,0.00580403,2.95879,duff,3006473,0,471041,200704,0,614400,20481,520196,0,16385,8192,8192
edn,0,20000000,1,1,0.329661,16.55743,0.308893,16.55743,331148600,0.0186559,0.00611409,2.95938,edn,175439881,27643904,17166337,53100544,0,10113024,864257,109805572,0,49153,20480,40960
expint,0,20000000,1,1,0.0538953,2.74213,0.0476055,2.74213,54842600,0.0173608,0.00568772,2.95836,expint,33714185,417792,6336513,1069056,0,262144,20481,21463044,0,831489,0,8192
fac,0,20000000,1,1,0.00367588,0.17207,0.00298572,0.17207,3441400,0.0173521,0.00568632,2.95868,fac,1646601,225280,471041,114688,0,73728,1,540676,0,53249,45056,4096
fasta,0,20000000,1,1,20.1107,1257.33122,21.2011,1257.33122,25146624400,0.016862,0.00553918,2.96637,fasta,17297687649,32768000,2166153381,590458646,0,590462976,262161064,9562379869,0,163946263,98307862,98402304
fdct,0,20000000,1,1,0.0149327,0.64741,0.0129785,0.64741,12948200,0.0200469,0.00658315,2.96521,fdct,7254025,802816,90113,1961984,0,1216512,724993,4083716,0,12289,0,8192
fibcall,0,20000000,1,1,0.00193715,0.09380,0.00158465,0.09380,1876000,0.016894,0.00554667,2.96413,fibcall,1130505,0,266241,16384,0,20480,1,647172,0,12289,0,8192
fir,0,20000000,1,1,2.2199,127.38746,2.2083,127.38746,2547749200,0.0173353,0.00569048,2.96419,fir,1273987081,99098624,227274753,14372864,0,5787648,198217729,800997380,0,2879489,2867200,8192
frac,0,20000000,1,1,1.18885,67.61909,1.16294,67.61909,1352381800,0.0171984,0.00564732,2.96512,frac,918777865,26689536,78462977,57311232,0,55025664,26746881,516075524,0,9691137,4030464,5738496
insertsort,0,20000000,1,1,0.00409812,0.19737,0.00343387,0.19737,3947400,0.0173984,0.00571363,2.96484,insertsort,2023433,0,274433,454656,0,430080,8193,1265668,0,8193,0,4096
janne_complex,0,20000000,1,1,0.00216426,0.10706,0.00177863,0.10706,2141200,0.0166134,0.00545573,2.96444,janne_complex,913417,16384,315393,16384,0,20480,16385,634884,0,12289,0,4096
jfdctint,0,20000000,1,1,0.0369802,1.79802,0.0329682,1.79802,35960400,0.0183358,0.00602186,2.96552,jfdctint,23126025,1048576,2387969,1298432,0,1400832,1032193,14008324,0,274433,0,12288
lcdnum,0,20000000,1,1,0.00115585,0.05700,0.000932625,0.05700,1140000,0.0163618,0.00537362,2.96424,lcdnum,528393,0,139265,65536,0,49152,8193,348164,0,28673,20480,4096
levenshtein,0,20000000,1,1,0.47086,25.91670,0.449354,25.91670,518334000,0.0173384,0.00569387,2.96543,levenshtein,252755977,10473472,42688513,65564672,0,18358272,11276289,164446212,0,8753153,307200,311296
