Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,48000000,0,0,0.0748794648,1.81916,0.0748794648,1.81916,87319680,0.0411615601,0.0135669158,3.0340127033,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36372484,0,303105,147456,299008
aha-mont64,0,48000000,0,0,0.0948413739,2.24441,0.0948413739,2.24441,1.07732e+08,0.0422567037,0.0139331894,3.0328417029,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,48000000,0,0,0.0004353075,0.01081,0.0004353075,0.01081,518880,0.0402689460,0.0133047709,3.0340357746,bs,274441,0,69633,49152,0,32768,4097,188420,0,12289,4096,8192
bubblesort,0,48000000,0,0,0.3574437650,8.35300,0.3574437650,8.35300,400944000,0.0427922633,0.0141122387,3.0322895331,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148529156,0,12289,4096,8192
cnt,0,48000000,0,0,0.0413171263,1.01109,0.0413171263,1.01109,48532320,0.0408638099,0.0134649920,3.0348913883,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19755012,0,843777,8192,430080
compress,0,48000000,0,0,0.0269489936,0.63934,0.0269489936,0.63934,30688320,0.0421514906,0.0138895660,3.0348810038,compress,17022985,0,1925121,2707456,0,3993600,2740225,9568260,0,221185,8192,217088
cover,0,48000000,0,0,0.0169245923,0.40947,0.0169245923,0.40947,19654560,0.0413332598,0.0136179553,3.0353822583,cover,12587017,0,2117633,729088,0,733184,688129,7708676,0,708609,499712,12288
crc,0,48000000,0,0,0.0096202808,0.23084,0.0096202808,0.23084,11080320,0.0416745001,0.0137345648,3.0346188524,crc,6705164,0,1400322,1105920,0,94721,370177,4568583,0,16641,4352,12288
crc32,0,48000000,0,0,0.4140214899,9.85762,0.4140214899,9.85762,4.73166e+08,0.0420001522,0.0138405419,3.0345808280,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151056388,0,8400897,8392704,8396800
ctl-stack,0,48000000,0,0,0.0928548473,2.30767,0.0928548473,2.30767,110768160,0.0402374891,0.0132559574,3.0354688839,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35246161,0,1802245,499716,913410
ctl-string,0,48000000,0,0,0.1076018712,2.62665,0.1076018712,2.62665,126079200,0.0409654941,0.0134975120,3.0350677002,ctl-string,70168546,0,11198463,14180364,0,6053908,10334217,42029041,0,2818053,1425412,385026
ctl-vector,0,48000000,0,0,0.0834024819,2.05415,0.0834024819,2.05415,98599200,0.0406018768,0.0133765549,3.0353398080,ctl-vector,47399059,1212416,9494551,15433750,0,12283926,946185,29917267,0,1613829,503812,929794
cubic,0,48000000,0,0,3.8326421305,90.87453,3.8326421305,90.87453,4361977440,0.0421750992,0.0138819823,3.0381294527,cubic,3295559689,89096192,262852609,169639936,0,168751104,85213185,1831186436,0,23031809,12754944,13832192
dijkstra,0,48000000,0,0,5.8819285512,147.15000,5.8819285512,147.15000,7063200000,0.0399723306,0.0131395047,3.0421544104,dijkstra,4006031341,70041600,462565375,912265228,0,521306132,525996040,2315775991,0,77832197,41660420,42438658
dtoa,0,48000000,0,0,0.0678855633,1.63645,0.0678855633,1.63645,78549600,0.0414835202,0.0136391029,3.0415684904,dtoa,52560520,1388556,5423162,5984362,0,5574782,1245213,29913464,0,675849,262147,479240
duff,0,48000000,0,0,0.0041825811,0.09991,0.0041825811,0.09991,4795680,0.0418620774,0.0137660402,3.0417536748,duff,3006473,0,471041,200704,0,614400,20481,1736708,0,16385,8192,8192
edn,0,48000000,0,0,0.2630823563,6.26694,0.2630823563,6.26694,300813120,0.0419794007,0.0138033415,3.0412628857,edn,175439881,27643904,17166337,53100544,0,10113024,864257,109809668,0,49153,20480,40960
expint,0,48000000,0,0,0.0424199780,1.01804,0.0424199780,1.01804,48865920,0.0416684189,0.0137015144,3.0412273643,expint,33714185,417792,6336513,1069056,0,262144,20481,21463044,0,831489,0,8192
fac,0,48000000,0,0,0.0026245764,0.06357,0.0026245764,0.06357,3051360,0.0412863943,0.0135812328,3.0413060733,fac,1646601,225280,471041,114688,0,73728,1,1183748,0,53249,45056,4096
fasta,0,48000000,0,0,19.5848516297,485.53720,19.5848516297,485.53720,23305785600,0.0403364591,0.0132928726,3.0344454369,fasta,17297687649,32768000,2166153381,590458646,0,590462976,262161064,9595008605,0,163946263,98307862,98402304
fdct,0,48000000,0,0,0.0112562241,0.25271,0.0112562241,0.25271,12130080,0.0445414694,0.0146824535,3.0339340149,fdct,7254025,802816,90113,1961984,0,1216512,724993,4087812,0,12289,0,8192
fibcall,0,48000000,0,0,0.0014311226,0.03575,0.0014311226,0.03575,1.716e+06,0.0400314063,0.0131957048,3.0359157096,fibcall,1130505,0,266241,16384,0,20480,1,655364,0,12289,0,8192
fir,0,48000000,0,0,1.8134982493,42.57430,1.8134982493,42.57430,2043566400,0.0425960786,0.0140391523,3.0340964022,fir,1273987081,99098624,227274753,14372864,0,5787648,198217729,801001476,0,2879489,2867200,8192
frac,0,48000000,0,0,1.0581426159,26.11365,1.0581426159,26.11365,1253455200,0.0405206762,0.0133521210,3.0347832767,frac,918777865,26689536,78462977,57311232,0,55025664,26746881,516280324,0,9691137,4030464,5738496
insertsort,0,48000000,0,0,0.0029121998,0.07224,0.0029121998,0.07224,3467520,0.0403147037,0.0132871968,3.0352114562,insertsort,2023433,0,274433,454656,0,430080,8193,1265668,0,8193,0,4096
janne_complex,0,48000000,0,0,0.0013901948,0.03387,0.0013901948,0.03387,1.62576e+06,0.0410490599,0.0135367484,3.0351348671,janne_complex,913417,16384,315393,16384,0,20480,16385,634884,0,12289,0,4096
jfdctint,0,48000000,0,0,0.0293647626,0.68497,0.0293647626,0.68497,32878560,0.0428699358,0.0141326899,3.0335268370,jfdctint,23126025,1048576,2387969,1298432,0,1400832,1032193,14008324,0,274433,0,12288
