Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,48000000,0,1,0.0948752618,2.78021,0.0948752618,2.78021,133450080,0.0341251696,0.0112366590,3.0369847025,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36372484,0,303105,147456,299008
aha-mont64,0,48000000,0,1,0.1130679414,3.21102,0.1130679414,3.21102,154128960,0.0352124923,0.0115990805,3.0358309720,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,48000000,0,1,0.0005414186,0.01609,0.0005414186,0.01609,772320,0.0336564077,0.0111007141,3.0373225856,bs,274441,0,69633,49152,0,32768,4097,188420,0,12289,4096,8192
bubblesort,0,48000000,0,1,0.4247924589,11.90568,0.4247924589,11.90568,571472640,0.0356798030,0.0117534908,3.0356916107,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148529156,0,12289,4096,8192
cnt,0,48000000,0,1,0.0510819491,1.54192,0.0510819491,1.54192,74012160,0.0331288745,0.0109038213,3.0383372711,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19755012,0,843777,8192,430080
compress,0,48000000,0,1,0.0327794922,0.93088,0.0327794922,0.93088,44682240,0.0352135729,0.0115923406,3.0377606001,compress,17022985,0,1925121,2707456,0,3993600,2740225,9568260,0,221185,8192,217088
cover,0,48000000,0,1,0.0212575093,0.62375,0.0212575093,0.62375,29940000,0.0340799797,0.0112173857,3.0382836201,cover,12587017,0,2117633,729088,0,733184,688129,7708676,0,708609,499712,12288
crc,0,48000000,0,1,0.0120768291,0.36238,0.0120768291,0.36238,17394240,0.0333267296,0.0109698045,3.0383074932,crc,6705164,0,1400322,1105920,0,94721,370177,4568583,0,16641,4352,12288
crc32,0,48000000,0,1,0.4888472035,13.95830,0.4888472035,13.95830,669998400,0.0350219947,0.0115288692,3.0377678467,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151056388,0,8400897,8392704,8396800
ctl-stack,0,48000000,0,1,0.1117443306,3.26559,0.1117443306,3.26559,156748320,0.0342187650,0.0112638862,3.0379386269,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35246161,0,1802245,499716,913410
ctl-string,0,48000000,0,1,0.1323954632,3.91916,0.1323954632,3.91916,188119680,0.0337815647,0.0111198883,3.0379578267,ctl-string,70168546,0,11198463,14180364,0,6053908,10334217,42029041,0,2818053,1425412,385026
ctl-vector,0,48000000,0,1,0.0985722963,2.87019,0.0985722963,2.87019,137769120,0.0343435280,0.0113057002,3.0377556441,ctl-vector,47399059,1212416,9494551,15433750,0,12283926,946185,29917267,0,1613829,503812,929794
cubic,0,48000000,0,1,4.6010350283,135.92847,4.6010350283,135.92847,6524566560,0.0338489424,0.0111409910,3.0382439536,cubic,3295559689,89096192,262852609,169639936,0,168751104,85213185,1831186436,0,23031809,12754944,13832192
dijkstra,0,48000000,0,1,7.1145041922,215.09096,7.1145041922,215.09096,10324366080,0.0330767228,0.0108618469,3.0452245588,dijkstra,4006031341,70041600,462565375,912265228,0,521306132,525996040,2315775991,0,77832197,41660420,42438658
dtoa,0,48000000,0,1,0.0815778472,2.38846,0.0815778472,2.38846,1.14646e+08,0.0341550458,0.0112176133,3.0448014554,dtoa,52560520,1388556,5423162,5984362,0,5574782,1245213,29913464,0,675849,262147,479240
