Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,24000000,1,1,0.0837454440,4.06888,0.0837454440,4.06888,97653120,0.0205819277,0.0067600800,3.0446750684,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36368388,0,303105,147456,299008
aha-mont64,0,24000000,1,1,0.1059763454,4.77216,0.1059763454,4.77216,1.14532e+08,0.0222072229,0.0073004920,3.0419008640,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,24000000,1,1,0.0005398246,0.02622,0.0005398246,0.02622,629280,0.0205856493,0.0067730063,3.0430311228,bs,274441,0,69633,49152,0,32768,4097,184324,0,12289,4096,8192
bubblesort,0,24000000,1,1,0.4037506052,17.65428,0.4037506052,17.65428,423702720,0.0228698405,0.0075197387,3.0413176243,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148123652,0,12289,4096,8192
cnt,0,24000000,1,1,0.0460105333,2.29787,0.0460105333,2.29787,55148880,0.0200231518,0.0065785489,3.0437556855,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19382276,0,843777,8192,430080
compress,0,24000000,1,1,0.0329572053,1.51213,0.0329572053,1.51213,36291120,0.0217952198,0.0071616483,3.0434280866,compress,17022985,0,1925121,2707456,0,3993600,2740225,9474052,0,221185,8192,217088
cover,0,24000000,1,1,0.0197382760,0.95687,0.0197382760,0.95687,22964880,0.0206280311,0.0067774539,3.0437714329,cover,12587017,0,2117633,729088,0,733184,688129,7704580,0,708609,499712,12288
crc,0,24000000,1,1,0.0115275704,0.56517,0.0115275704,0.56517,1.35641e+07,0.0203967758,0.0067019347,3.0436636936,crc,6705164,0,1400322,1105920,0,94721,370177,4564486,0,16641,4352,12288
crc32,0,24000000,1,1,0.4713979722,21.63718,0.4713979722,21.63718,519292320,0.0217864794,0.0071596821,3.0429453887,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151048196,0,8400897,8392704,8396800
ctl-stack,0,24000000,1,1,0.1070879216,5.25807,0.1070879216,5.25807,126193680,0.0203663934,0.0066910103,3.0438727626,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35213393,0,1802245,499716,913410
ctl-string,0,24000000,1,1,0.1280525297,6.23344,0.1280525297,6.23344,149602560,0.0205428452,0.0067490604,3.0438267486,ctl-string,70168546,0,11198463,14180364,0,6053908,10334217,41742323,0,2818053,1425412,385026
ctl-vector,0,24000000,1,1,0.1002811193,4.70004,0.1002811193,4.70004,1.12801e+08,0.0213362443,0.0070110836,3.0432459945,ctl-vector,47399059,1212416,9494551,15433750,0,12283926,946185,29884499,0,1613829,503812,929794
cubic,0,24000000,1,1,4.1274368074,196.19086,4.1274368074,196.19086,4708580640,0.0210378643,0.0069047087,3.0468931666,cubic,3295559689,89096192,262852609,169639936,0,168751104,85213185,1831096324,0,23031809,12754944,13832192
dijkstra,0,24000000,1,1,7.2127172432,348.71144,7.2127172432,348.71144,8369074560,0.0206839140,0.0067806540,3.0504335550,dijkstra,4006031341,70041600,462565375,912265228,0,521306132,525996040,2230505463,0,77832197,41660420,42438658
dtoa,0,24000000,1,1,0.0771290166,3.56551,0.0771290166,3.56551,85572240,0.0216319725,0.0070918865,3.0502723350,dtoa,52560520,1388556,5423162,5984362,0,5574782,1245213,29827448,0,675849,262147,479240
duff,0,24000000,1,1,0.0049760481,0.22919,0.0049760481,0.22919,5500560,0.0217114684,0.0071176085,3.0509546480,duff,3006473,0,471041,200704,0,614400,20481,520196,0,16385,8192,8192
edn,0,24000000,1,1,0.3040479436,13.79818,0.3040479436,13.79818,331156320,0.0220353716,0.0072244906,3.0501279634,edn,175439881,27643904,17166337,53100544,0,10113024,864257,109805572,0,49153,20480,40960
expint,0,24000000,1,1,0.0474422870,2.28488,0.0474422870,2.28488,5.48371e+07,0.0207636117,0.0068059113,3.0508531833,expint,33714185,417792,6336513,1069056,0,262144,20481,21463044,0,831489,0,8192
fac,0,24000000,1,1,0.0030334758,0.14336,0.0030334758,0.14336,3.44064e+06,0.0211593350,0.0069379176,3.0505947193,fac,1646601,225280,471041,114688,0,73728,1,540676,0,53249,45056,4096
fasta,0,24000000,1,1,20.6943221133,1047.70941,20.6943221133,1047.70941,25145025840,0.0197519677,0.0064896608,3.0436079527,fasta,17297687649,32768000,2166153381,590458646,0,590462976,262161064,9562379869,0,163946263,98307862,98402304
fdct,0,24000000,1,1,0.0128428394,0.53950,0.0128428394,0.53950,12948000,0.0238052252,0.0078232530,3.0431032677,fdct,7254025,802816,90113,1961984,0,1216512,724993,4083716,0,12289,0,8192
fibcall,0,24000000,1,1,0.0015777439,0.07817,0.0015777439,0.07817,1876080,0.0201843686,0.0066314464,3.0454555930,fibcall,1130505,0,266241,16384,0,20480,1,647172,0,12289,0,8192
fir,0,24000000,1,1,2.1720263046,106.15580,2.1720263046,106.15580,2547739200,0.0204607416,0.0067207219,3.0444300189,fir,1273987081,99098624,227274753,14372864,0,5787648,198217729,800997380,0,2879489,2867200,8192
frac,0,24000000,1,1,1.1450196603,56.34320,1.1450196603,56.34320,1352236800,0.0203222344,0.0066763985,3.0438967475,frac,918777865,26689536,78462977,57311232,0,55025664,26746881,516075524,0,9691137,4030464,5738496
insertsort,0,24000000,1,1,0.0034024451,0.16448,0.0034024451,0.16448,3.94752e+06,0.0206864920,0.0067975101,3.0442602121,insertsort,2023433,0,274433,454656,0,430080,8193,1265668,0,8193,0,4096
janne_complex,0,24000000,1,1,0.0017689800,0.08921,0.0017689800,0.08921,2141040,0.0198294008,0.0065146218,3.0449262469,janne_complex,913417,16384,315393,16384,0,20480,16385,634884,0,12289,0,4096
jfdctint,0,24000000,1,1,0.0326863167,1.49836,0.0326863167,1.49836,35960640,0.0218146800,0.0071688847,3.0430989951,jfdctint,23126025,1048576,2387969,1298432,0,1400832,1032193,14008324,0,274433,0,12288
lcdnum,0,24000000,1,1,0.0009334210,0.04750,0.0009334210,0.04750,1140000,0.0196523307,0.0064580229,3.0447655351,lcdnum,528393,0,139265,65536,0,49152,8193,348164,0,28673,20480,4096
levenshtein,0,24000000,1,1,0.4455719377,21.59750,0.4455719377,21.59750,518340000,0.0206307154,0.0067784147,3.0435964156,levenshtein,252755977,10473472,42688513,65564672,0,18358272,11276289,164446212,0,8753153,307200,311296
ludcmp,0,24000000,1,1,0.1755601387,8.62223,0.1755601387,8.62223,206933520,0.0203613293,0.0066891246,3.0439657725,ludcmp,134098953,1810432,14602241,12636160,0,10211328,1400833,75030532,0,1441793,978944,1220608
matmult-float,0,24000000,1,1,1.5328113174,75.87504,1.5328113174,75.87504,1821000960,0.0202017850,0.0066368134,3.0439065655,matmult-float,1187909641,15319040,126152705,105320448,0,90230784,12967937,657473540,0,12259329,10608640,10665984
matmult-int,0,24000000,1,1,0.8873248707,41.03197,0.8873248707,41.03197,984767280,0.0216252056,0.0071063507,3.0431090217,matmult-int,532971529,36044800,68788225,142606336,0,47673344,6586369,311296004,0,6574081,1642496,3293184
mergesort,0,24000000,1,1,4.5084585504,218.49656,4.5084585504,218.49656,5243917440,0.0206340023,0.0067806443,3.0430783449,mergesort,3368980627,51609600,382791703,379736086,0,208285718,66043913,1863770195,0,36052997,23797764,16490498
minver,0,24000000,1,1,0.0874088233,4.23945,0.0874088233,4.23945,101746800,0.0206179795,0.0067767605,3.0424811377,minver,63896409,434159,8003052,6463580,0,5292074,669700,35850203,0,669694,225270,655350
nbody,0,24000000,1,1,25.8187054094,1233.66289,25.8187054094,1233.66289,29607909360,0.0209284934,0.0068762710,3.0435854472,nbody,20852818620,476856236,1672875718,1104797638,0,1014243288,427855849,11588974760,0,119066601,69722097,82522112
ndes,0,24000000,1,1,0.3256976984,15.53780,0.3256976984,15.53780,372907200,0.0209616355,0.0068852136,3.0444553984,ndes,212787402,1179648,17350689,29978624,0,17199137,22016002,117424140,0,4042753,135168,139264
nettle-arcfour,0,24000000,1,1,0.1183514353,5.76973,0.1183514353,5.76973,138473520,0.0205124866,0.0067394545,3.0436693295,nettle-arcfour,74723337,0,13012993,9281536,0,7032832,2179073,41656324,0,2121729,12288,20480
nettle-cast128,0,24000000,1,1,0.0274472141,1.21780,0.0274472141,1.21780,29227200,0.0225382944,0.0074057485,3.0434037172,nettle-cast128,16830473,0,135169,2371584,0,1114112,3817473,8482820,0,20481,4096,20480
nettle-des,0,24000000,1,1,0.0239254166,1.11424,0.0239254166,1.11424,2.67418e+07,0.0214724085,0.0070541590,3.0440556696,nettle-des,19431433,0,118785,1122304,0,380928,2322433,9773060,0,32769,16384,28672
nettle-md5,0,24000000,1,1,0.0058498274,0.25982,0.0058498274,0.25982,6235680,0.0225149234,0.0073980094,3.0437344780,nettle-md5,4575241,0,94209,634880,0,188416,270337,2310148,0,12289,0,8192
nettle-sha256,0,24000000,1,1,0.0554712473,2.36644,0.0554712473,2.36644,56794560,0.0234407671,0.0077036189,3.0428913723,nettle-sha256,41385993,0,499713,10117120,0,2260992,618497,21057540,0,81921,28672,65536
newlib-exp,0,24000000,1,1,0.0728984606,3.47808,0.0728984606,3.47808,83473920,0.0209593972,0.0068862302,3.0436958434,newlib-exp,54738953,770048,5505025,4247552,0,4251648,802817,30392324,0,573441,339968,495616
