Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,24000000,0,0,0.0883701,3.63894,0.0809277,3.63894,87334560,0.0222394,0.00730733,2.96701,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36372484,0,303105,147456,299008
aha-mont64,0,24000000,0,0,0.110051,4.48985,0.101805,4.48985,1.07756e+08,0.0226744,0.0074553,2.96903,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,24000000,0,0,0.000574412,0.02162,0.00046425,0.02162,518880,0.0214699,0.00707163,2.96784,bs,274441,0,69633,49152,0,32768,4097,188420,0,12289,4096,8192
bubblesort,0,24000000,0,0,0.401754,16.70807,0.383787,16.70807,400993680,0.0229701,0.00755359,2.96946,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148529156,0,12289,4096,8192
cnt,0,24000000,0,0,0.04909,2.02233,0.0443003,2.02233,4.85359e+07,0.0219056,0.00719814,2.96718,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19755012,0,843777,8192,430080
compress,0,24000000,0,0,0.0320863,1.27904,0.0286423,1.27904,30696960,0.0223936,0.00735852,2.96719,compress,17022985,0,1925121,2707456,0,3993600,2740225,9568260,0,221185,8192,217088
cover,0,24000000,0,0,0.0202378,0.81896,0.0178519,0.81896,19655040,0.0217984,0.00716309,2.96716,cover,12587017,0,2117633,729088,0,733184,688129,7708676,0,708609,499712,12288
crc,0,24000000,0,0,0.0114473,0.46179,0.0099697,0.46179,11082960,0.0215891,0.00709568,2.96766,crc,6705164,0,1400322,1105920,0,94721,370177,4568583,0,16641,4352,12288
crc32,0,24000000,0,0,0.458552,19.71723,0.438869,19.71723,473213520,0.0222581,0.00731681,2.96838,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151056388,0,8400897,8392704,8396800
ctl-stack,0,24000000,0,0,0.106267,4.61628,0.0977916,4.61628,110790720,0.0211841,0.00696069,2.96706,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35246161,0,1802245,499716,913410
ctl-string,0,24000000,0,0,0.124798,5.25343,0.115395,5.25343,126082320,0.0219656,0.00721818,2.96736,ctl-string,70168546,0,11198463,14180364,0,6053908,10334217,42029041,0,2818053,1425412,385026
ctl-vector,0,24000000,0,0,0.0953871,4.10929,0.0876611,4.10929,9.8623e+07,0.0213324,0.0070109,2.96768,ctl-vector,47399059,1212416,9494551,15433750,0,12283926,946185,29917267,0,1613829,503812,929794
cubic,0,24000000,0,0,3.97692,181.75956,4.0193,181.75956,4362229440,0.0221133,0.00726174,2.96534,cubic,3295559689,89096192,262852609,169639936,0,168751104,85213185,1831186436,0,23031809,12754944,13832192
dijkstra,0,24000000,0,0,6.0775,294.40759,6.22576,294.40759,7.06578e+09,0.0211467,0.00693588,2.96174,dijkstra,4006031341,70041600,462565375,912265228,0,521306132,525996040,2315775991,0,77832197,41660420,42438658
dtoa,0,24000000,0,0,0.0813612,3.27380,0.0732786,3.27380,78571200,0.0223834,0.00733973,2.96099,dtoa,52560520,1388556,5423162,5984362,0,5574782,1245213,29913464,0,675849,262147,479240
duff,0,24000000,0,0,0.00534239,0.19988,0.00442243,0.19988,4797120,0.0221254,0.00725456,2.96034,duff,3006473,0,471041,200704,0,614400,20481,1736708,0,16385,8192,8192
edn,0,24000000,0,0,0.301587,12.53827,0.282652,12.53827,300918480,0.0225431,0.00739296,2.96136,edn,175439881,27643904,17166337,53100544,0,10113024,864257,109809668,0,49153,20480,40960
expint,0,24000000,0,0,0.0515767,2.03688,0.045794,2.03688,48885120,0.0224824,0.00737163,2.96076,expint,33714185,417792,6336513,1069056,0,262144,20481,21463044,0,831489,0,8192
fac,0,24000000,0,0,0.00344196,0.12719,0.00281953,0.12719,3052560,0.0221684,0.0072711,2.96097,fac,1646601,225280,471041,114688,0,73728,1,1183748,0,53249,45056,4096
fasta,0,24000000,0,0,19.485,971.45608,20.4644,971.45608,23314945920,0.0210657,0.00692507,2.9685,fasta,17297687649,32768000,2166153381,590458646,0,590462976,262161064,9595008605,0,163946263,98307862,98402304
fdct,0,24000000,0,0,0.0136169,0.50556,0.011887,0.50556,12133440,0.0235128,0.00772645,2.9671,fdct,7254025,802816,90113,1961984,0,1216512,724993,4087812,0,12289,0,8192
fibcall,0,24000000,0,0,0.00184016,0.07152,0.00151586,0.07152,1716480,0.0211939,0.0069644,2.96579,fibcall,1130505,0,266241,16384,0,20480,1,655364,0,12289,0,8192
fir,0,24000000,0,0,1.92611,85.18312,1.90958,85.18312,2044394880,0.0224173,0.00736494,2.9667,fir,1273987081,99098624,227274753,14372864,0,5787648,198217729,801001476,0,2879489,2867200,8192
frac,0,24000000,0,0,1.1387,52.25181,1.11403,52.25181,1254043440,0.0213204,0.00700609,2.96735,frac,918777865,26689536,78462977,57311232,0,55025664,26746881,516280324,0,9691137,4030464,5738496
insertsort,0,24000000,0,0,0.00361666,0.14453,0.00304305,0.14453,3468720,0.0210548,0.00691857,2.9665,insertsort,2023433,0,274433,454656,0,430080,8193,1265668,0,8193,0,4096
janne_complex,0,24000000,0,0,0.00177153,0.06775,0.0014678,0.06775,1626000,0.0216638,0.00712226,2.96714,janne_complex,913417,16384,315393,16384,0,20480,16385,634884,0,12289,0,4096
jfdctint,0,24000000,0,0,0.0349187,1.37039,0.0313015,1.37039,32889360,0.0228413,0.00750745,2.96786,jfdctint,23126025,1048576,2387969,1298432,0,1400832,1032193,14008324,0,274433,0,12288
lcdnum,0,24000000,0,0,0.0010278,0.04001,0.000836733,0.04001,960240,0.0209149,0.00687614,2.96648,lcdnum,528393,0,139265,65536,0,49152,8193,352260,0,28673,20480,4096
levenshtein,0,24000000,0,0,0.415865,18.82379,0.396489,18.82379,451770960,0.0210632,0.00692142,2.96728,levenshtein,252755977,10473472,42688513,65564672,0,18358272,11276289,165433348,0,8753153,307200,311296
ludcmp,0,24000000,0,0,0.182126,7.98254,0.170011,7.98254,191580960,0.0212978,0.00699855,2.96728,ludcmp,134098953,1810432,14602241,12636160,0,10211328,1400833,75034628,0,1441793,978944,1220608
matmult-float,0,24000000,0,0,1.49082,70.12343,1.46852,70.12343,1682962320,0.0209419,0.00688139,2.96721,matmult-float,1187909641,15319040,126152705,105320448,0,90230784,12967937,657477636,0,12259329,10608640,10665984
matmult-int,0,24000000,0,0,0.853235,37.97141,0.828677,37.97141,911313840,0.0218237,0.0071717,2.96743,matmult-int,532971529,36044800,68788225,142606336,0,47673344,6586369,311300100,0,6574081,1642496,3293184
mergesort,0,24000000,0,0,4.32639,203.40179,4.3811,203.40179,4881642960,0.0215391,0.00707534,2.96624,mergesort,3368980627,51609600,382791703,379736086,0,208285718,66043913,1865756755,0,36052997,23797764,16490498
minver,0,24000000,0,0,0.0908126,3.91082,0.0835425,3.91082,93859680,0.0213619,0.00702285,2.96865,minver,63896409,434159,8003052,6463580,0,5292074,669700,36026331,0,669694,225270,655350
nbody,0,24000000,0,0,23.7891,1139.93573,25.1311,1139.93573,27358457520,0.0220461,0.0072459,2.9679,nbody,20852818620,476856236,1672875718,1104797638,0,1014243288,427855849,11588982952,0,119066601,69722097,82522112
ndes,0,24000000,0,0,0.307311,13.38485,0.290506,13.38485,321236400,0.0217041,0.00713077,2.96675,ndes,212787402,1179648,17350689,29978624,0,17199137,22016002,117424230,0,4042753,135168,139264
nettle-arcfour,0,24000000,0,0,0.117877,5.04551,0.108836,5.04551,121092240,0.0215709,0.00708847,2.96736,nettle-arcfour,74723337,0,13012993,9281536,0,7032832,2179073,47927300,0,2121729,12288,20480
nettle-cast128,0,24000000,0,0,0.0270586,1.01606,0.024086,1.01606,24385440,0.0237052,0.0077908,2.96767,nettle-cast128,16830473,0,135169,2371584,0,1114112,3817473,8482820,0,20481,4096,20480
nettle-des,0,24000000,0,0,0.0253256,0.97904,0.0224752,0.97904,23496960,0.0229564,0.00754367,2.96725,nettle-des,19431433,0,118785,1122304,0,380928,2322433,9777156,0,32769,16384,28672
nettle-md5,0,24000000,0,0,0.00658055,0.24431,0.005639,0.24431,5863440,0.0230813,0.00758529,2.96713,nettle-md5,4575241,0,94209,634880,0,188416,270337,2314244,0,12289,0,8192
nettle-sha256,0,24000000,0,0,0.0589328,2.30825,0.0534522,2.30825,55398000,0.023157,0.00760969,2.96732,nettle-sha256,41385993,0,499713,10117120,0,2260992,618497,21078020,0,81921,28672,65536
newlib-exp,0,24000000,0,0,0.0773921,3.19630,0.0707039,3.19630,76711200,0.0221205,0.00726928,2.96742,newlib-exp,54738953,770048,5505025,4247552,0,4251648,802817,30396420,0,573441,339968,495616
newlib-log,0,24000000,0,0,0.0584519,2.40243,0.0529001,2.40243,5.76583e+07,0.0220194,0.00723396,2.96657,newlib-log,40787977,655360,4169729,3264512,0,3219456,667649,22618116,0,458753,237568,401408
